"result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9"
0.999950246826688,0.999947998624419,0.996663652084587,0.99862810699526,0.763175107071848,0.818575949982271,0.629027768953894,0.635909687087444,0.690096375689652
1,0.999384234983583,0.997527873768433,0.999534861297927,0.78071120474645,0.727002167997105,0.646511074300693,0.590583799598462,0.60897129878777
0.999900696030198,0.922694451310563,0.999116552002592,0.998774798169052,0.647088381011564,0.826675611794962,0.995270966863358,0.844577326166967,0.733514135926101
0.999950207683101,0.925289059430822,0.683720601356008,0.999018887548297,0.791920524571826,0.687128203835626,0.774488365100627,0.776106407861862,0.76730730056939
0.999950359281262,0.991059447606306,0.997360575510548,0.999003089405757,0.727254940770466,0.621649367412523,0.99295596645172,0.720240330936951,0.71319954353257
1,0.923163389553948,0.6813514100886,0.75154745799193,0.774547279380409,0.799038562279719,0.988957851843844,0.717184783539491,0.617743155535872
1,0.922903611803543,0.679229871066484,0.999457936081394,0.764731945816163,0.557526096943226,0.750957010408006,0.997461546790477,0.670064124351344
0.999750431871952,0.937383290615039,0.681667323276913,0.749450400268264,0.677230950444185,0.996502997702916,0.685341105324085,0.822330213626447,0.639927256881732
1,0.998665525110527,0.999781517670865,0.747081490364036,0.763928300934481,0.998072796296796,0.73377941640257,0.756404039185006,0.71034716303403
1,0.946580653624448,0.683208894590739,0.640067777700597,0.995066101822655,0.715192616377676,0.995104166576324,0.852147890794979,0.791959034367717
0.999950389431002,0.999410726129332,0.679960653434123,0.640287354010713,0.998785819143667,0.67479022274947,0.874826701191919,0.72954716357112,0.676457154973692
1,0.921718165368754,0.999482103765075,0.998351779500188,0.789823028960453,0.801233537062509,0.753230292571058,0.840296589348129,0.704306209273514
0.999950233280645,0.99908582030815,0.99953277706946,0.999744941469456,0.664901902078573,0.68470031865478,0.782568291564797,0.719609535107148,0.622781871521722
1,0.993750491947701,0.681041118190152,0.998746878395658,0.996176762897911,0.682365672960889,0.774899875829167,0.583448006985043,0.952419695373124
1,0.999794650967274,0.997692654744385,0.999084364765886,0.6784520093556,0.804734270756695,0.758139266256616,0.591823601664375,0.680993695312591
0.999949950517492,0.992860337079371,0.998353759275186,0.998247319934413,0.762361509451082,0.637669477294829,0.739347060369102,0.715394450908182,0.628653844005403
0.999950292850168,0.926238257803355,0.999176263411184,0.999545298826986,0.995915412053337,0.701146184097876,0.998771041351952,0.652744374793662,0.801056378621394
0.99995016167793,0.928269738875218,0.998362311611398,0.749851488381738,0.618911548736174,0.821797974004342,0.761824151059927,0.890702464932916,0.661064748834367
1,0.998624926922975,0.681919007722472,0.747711083759008,0.761303467055107,0.631094338662804,0.771974982465841,0.725700041328518,0.993019487929475
1,0.921982950433353,0.680361823729976,0.997166093967868,0.761208839528212,0.594945716880869,0.710593778119772,0.669785064117589,0.716207425118129
1,0.925555500215204,0.999087558478588,0.75125834013476,0.998187375391582,0.636740523338013,0.771452193672903,0.711615977286871,0.721822254861346
1,0.924292856851894,0.999154299945355,0.998264663961816,0.760188157089533,0.883445122823833,0.994421640510674,0.993568319871324,0.990534384521453
1,0.930969729886702,0.998988838034643,0.998003305800684,0.996255871007614,0.768752817173165,0.688055609910849,0.995220200483011,0.948708944384765
